Nome,Idade,Sexo,Turma,Rm,Pontuacao,Num_simulacoes,Num_insignias
Kathleen Dunn,50,F,6LPNW,756937,185,1,1
Jasmine Curtis MD,43,F,6LPNY,796786,555,2,3
Timothy Davenport,46,M,4LPNX,616348,0,3,0
Thomas Yates,22,M,10LPNZ,303489,1295,2,7
Maria Pollard,21,F,2LPNW,370491,925,2,5
Gregory Jordan,20,M,8LPNZ,475511,1480,3,8
Jesse Lopez,18,M,5LPNY,875608,1850,2,10
Mrs. Andrea Munoz,21,F,5LPNW,513737,2590,3,14
Heather Bailey,49,F,3LPNZ,190525,0,2,0
James Weber,26,M,3LPNX,843142,185,2,1
Daniel Morales,34,M,8LPNW,975854,555,2,3
Cody Johnson,50,M,6LPNZ,539097,185,1,1
Angela Tapia,29,F,6LPNX,604520,370,2,2
Karen Thompson,34,F,4LPNY,431949,1665,2,9
David Torres,21,M,7LPNX,308002,555,2,3
Jackie Campbell,47,F,6LPNX,124956,925,1,5
Cindy Simpson,36,F,6LPNY,539007,185,2,1
Steven Farley,41,M,1LPNY,258314,555,2,3
Kenneth Hughes,36,M,1LPNY,202246,0,2,0
Melissa Patrick,33,F,8LPNY,310302,555,2,3
Jennifer Mccann,42,F,10LPNY,108798,370,2,2
Michelle Harper,50,F,3LPNX,909119,740,2,4
Laura Berry,28,F,1LPNX,989995,185,1,1
Christopher Martinez,40,M,8LPNX,103211,925,2,5
Tracy Copeland,42,F,6LPNY,192389,185,1,1
Andrew Snyder,35,M,5LPNW,616721,555,2,3
Amber Conway,47,F,2LPNY,801916,740,2,4
Dylan Brown,27,M,4LPNX,412867,2590,3,14
Edward Sullivan,35,M,7LPNY,770450,2590,3,14
Joseph Marquez,34,M,7LPNX,197649,1665,3,9
Sandra Baker,20,F,5LPNX,806559,185,2,1
Brittney Walker,47,F,4LPNW,665568,925,3,5
Richard Oliver,36,M,10LPNY,204672,185,3,1
Robert Green,21,M,6LPNX,535839,2220,3,12
Dr. James Carpenter,28,M,3LPNW,304054,925,1,5
Andrew Weaver,46,M,1LPNZ,974695,925,2,5
Tracy Reyes,42,F,9LPNX,736879,1665,3,9
Katelyn Hernandez,38,F,3LPNY,327943,185,1,1
William Holmes,40,M,9LPNX,654934,370,1,2
Tracy Smith,39,F,7LPNZ,518229,185,1,1
Christopher Brown,42,M,1LPNX,626603,925,2,5
Laura Tucker,44,F,6LPNZ,890498,185,1,1
Melvin Orozco,31,M,2LPNY,891329,1665,2,9
Lisa Ayala,45,F,6LPNY,701926,740,1,4
Stephanie Copeland,50,F,7LPNW,545689,0,1,0
Melinda Evans,48,F,3LPNY,434503,185,1,1
Melinda Ramirez,24,F,5LPNY,351822,370,1,2
Chelsea Martinez,47,F,3LPNW,294124,185,2,1
Tina Jensen,40,F,6LPNX,195719,1850,2,10
Whitney Lee,45,F,6LPNY,194482,370,3,2
Douglas Robinson,41,M,2LPNW,757012,555,1,3
Daniel Crawford,38,M,5LPNZ,621318,1850,2,10
Brandon Adams,26,M,4LPNZ,508817,1665,3,9
Craig Roman,22,M,2LPNX,853645,740,3,4
Alicia Evans,25,F,5LPNY,689605,555,1,3
Matthew Erickson,38,M,2LPNX,344651,1110,2,6
Richard Vincent,40,M,6LPNY,126024,740,1,4
Mario Krueger,50,M,3LPNX,777498,925,1,5
Angela Mckinney,38,F,7LPNY,199057,1480,2,8
Tyler Bell,50,M,5LPNY,977588,370,1,2
Ronald Kelly,33,M,2LPNZ,722382,1665,3,9
Casey Watkins,38,M,3LPNW,995625,370,2,2
Julie Allen,30,F,3LPNW,985653,2775,3,15
Jacqueline Mclean,19,F,6LPNW,930284,740,3,4
Jennifer Bowen,44,F,8LPNZ,143345,185,3,1
Karen Anderson,42,F,5LPNW,838674,185,1,1
Karen Mcdowell,34,F,6LPNZ,295765,1665,3,9
Dawn Jimenez,33,F,7LPNW,385811,370,3,2
Adrian Martinez,22,M,3LPNZ,748336,555,3,3
Catherine Daniel,21,F,2LPNZ,581896,555,2,3
William Smith,46,M,10LPNY,647489,1665,2,9
Katrina Garcia,18,F,8LPNY,817791,740,1,4
Mark Dean,49,M,1LPNX,770594,740,1,4
Eric Hernandez,26,M,5LPNW,153158,1665,2,9
Cynthia Brown,20,F,2LPNX,475347,555,2,3
Kevin Harris,46,M,8LPNY,899268,1110,2,6
Emily Gray,26,F,6LPNW,217097,740,2,4
Gregory Johnson,34,M,4LPNZ,862820,2590,3,14
Jennifer Jackson,44,F,3LPNY,273252,1295,2,7
Johnny James,22,M,9LPNW,369853,555,1,3
Mr. Phillip Massey,32,M,3LPNZ,130281,1480,3,8
Kylie Deleon,38,F,9LPNZ,149002,185,2,1
Marc Lin,38,M,7LPNZ,110232,1665,3,9
Donald Hall,25,M,1LPNW,752879,185,1,1
Micheal Ross,41,M,5LPNZ,472748,0,1,0
Keith Harrison,44,M,10LPNW,726878,370,1,2
Madeline Lucas,38,F,3LPNZ,205940,740,1,4
Megan Kelley,38,F,5LPNW,810951,0,2,0
Tammy Mcdonald,18,F,8LPNX,900772,740,2,4
Jesse Maldonado,25,M,10LPNY,262688,1850,2,10
Michael Nixon,34,M,10LPNZ,546478,370,2,2
Elizabeth Williams,48,F,6LPNZ,679531,555,1,3
Cassandra Parks,24,F,7LPNZ,502044,740,2,4
Stephanie Hamilton,50,F,5LPNW,470026,1480,2,8
Craig Wallace,31,M,10LPNY,948785,0,2,0
Robert Weber,24,M,7LPNW,568430,925,3,5
Stephanie Yang,32,F,1LPNX,990099,925,1,5
John Stevens,32,M,10LPNY,550963,370,2,2
Rita Compton,43,F,10LPNY,888869,2775,3,15
Megan Stein,28,F,7LPNZ,411300,0,3,0
Robert Hamilton,23,M,6LPNW,394017,185,1,1
Matthew Smith,46,M,2LPNW,291532,925,2,5
Richard Johnson,21,M,2LPNZ,693227,1110,2,6
Sherri Miller,29,F,4LPNZ,701003,1110,2,6
John Smith,27,M,4LPNY,612031,740,2,4
Carolyn Lopez,32,F,10LPNW,551765,370,2,2
Jacob Bell,41,M,2LPNZ,677690,740,2,4
Steven Berry,49,M,6LPNW,181534,555,3,3
Keith Meza,34,M,2LPNY,456011,2220,3,12
Deborah Simpson,39,F,9LPNW,990500,2220,3,12
Barbara Rogers,41,F,3LPNX,612573,1110,2,6
Rachel Ramos,31,F,2LPNY,408202,925,1,5
Scott Ritter,44,M,9LPNY,505800,2775,3,15
Suzanne Dunn,44,F,3LPNW,170308,925,1,5
Amy Hernandez MD,20,F,4LPNZ,310906,2775,3,15
Jessica Horton,28,F,6LPNW,262395,370,1,2
Jennifer Garcia DDS,37,F,10LPNY,333994,740,2,4
Mark Howard,29,M,2LPNW,910318,1110,2,6
Justin Shaw,32,M,2LPNY,894294,0,1,0
Brian Ali,32,M,6LPNZ,639659,1295,2,7
Shane Ali,34,M,9LPNY,845794,555,1,3
Jared Hale,39,M,2LPNX,202916,2405,3,13
John Nichols,46,M,1LPNW,183110,740,3,4
Bruce Ramirez,22,M,8LPNZ,281198,1110,2,6
Lauren Livingston,18,F,1LPNW,226774,185,3,1
Cassandra Salas,40,F,6LPNY,589324,185,2,1
Marissa Gutierrez,39,F,2LPNY,669265,925,1,5
Colleen White,44,F,7LPNZ,829520,1110,2,6
Kyle Collins,24,M,1LPNX,701785,1295,2,7
Mr. Cory Rowe MD,34,M,4LPNW,353551,925,3,5
William Martinez,36,M,2LPNZ,849646,555,3,3
Daniel Adams,23,M,5LPNY,553672,0,2,0
James Mcconnell,25,M,3LPNY,215899,1480,2,8
Meghan Willis,33,F,6LPNW,324590,1850,2,10
Philip Brown,25,M,3LPNW,433052,925,1,5
Jeanne Jordan,33,F,4LPNX,739782,1295,2,7
Timothy Brown,30,M,6LPNW,855847,1110,3,6
Kelly Wood,21,M,7LPNW,835603,1110,2,6
Sandra Curry,33,F,1LPNW,203612,370,3,2
Jasmine Green,49,F,10LPNX,480073,555,2,3
Adam Mills,46,M,5LPNW,252049,555,3,3
Todd Dawson,42,M,3LPNW,907835,185,1,1
Nathan Williams,26,M,10LPNY,305665,925,3,5
Cynthia Carter,21,F,9LPNX,805694,0,3,0
Thomas Hayes,49,M,9LPNX,918930,740,1,4
Darlene Holland,48,F,1LPNY,665440,1480,3,8
Samantha Potter,44,F,10LPNW,201311,185,2,1
Megan Larsen,31,F,1LPNX,900768,555,2,3
Michael Douglas,48,M,4LPNW,499209,0,1,0
Mallory Gonzalez,32,F,8LPNX,320202,1295,2,7
Kimberly Farley,35,F,9LPNX,983683,1665,2,9
Robert Moore,39,M,3LPNY,677368,1850,3,10
Phillip Turner,32,M,10LPNX,764631,555,2,3
Erin Chang,39,F,7LPNW,986590,370,1,2
Mark Allen,19,M,7LPNX,388483,925,2,5
Desiree Cummings,22,F,4LPNW,192334,740,2,4
Lee Burns,24,M,1LPNW,382792,555,1,3
Beth Torres,37,F,3LPNW,575901,1480,2,8
Jose Nunez,30,M,8LPNX,850361,555,2,3
Sean Mcbride,47,M,6LPNZ,615247,1480,3,8
Laura Burns,29,F,9LPNX,729954,370,2,2
Teresa Jones,20,F,10LPNY,524573,1295,3,7
Mr. Paul Fernandez,42,M,7LPNZ,482688,740,1,4
Pamela Thomas,38,F,3LPNZ,663116,2775,3,15
Allison Herring,24,F,4LPNZ,909672,1110,3,6
Kimberly Dillon,29,F,3LPNW,528240,1665,3,9
Lee Clay,22,M,3LPNW,102964,740,1,4
Sharon Cervantes,26,F,8LPNW,737690,555,1,3
Julie Maldonado,49,F,6LPNY,866230,1295,2,7
Katherine Hill,50,F,4LPNW,473052,555,1,3
Robin Lopez,31,F,5LPNX,778387,1480,2,8
Kimberly Johnson,35,F,5LPNX,932664,0,3,0
Patricia Singleton,20,F,10LPNX,185254,1295,3,7
David Bray,20,M,4LPNX,466242,1850,3,10
Lori Perez,43,F,5LPNX,974352,740,3,4
Michelle Stark,20,F,8LPNW,555191,2405,3,13
Amber Case,19,F,1LPNZ,889545,1295,2,7
John Dalton Jr.,39,M,1LPNZ,345564,2775,3,15
Zachary Mullins,22,M,1LPNZ,457985,2590,3,14
Gabriela Morgan,37,F,5LPNY,564293,185,1,1
Cindy Pham,19,F,1LPNY,282159,740,1,4
Jessica Roberts,39,F,1LPNW,496527,2590,3,14
Matthew Adams,43,M,6LPNY,255843,555,1,3
Victoria Stanton,43,F,3LPNX,129100,0,3,0
Karen Bell,50,F,7LPNX,283453,555,3,3
Kristen Waters,21,F,8LPNW,561264,185,1,1
Lauren Butler,29,F,9LPNZ,138645,370,1,2
Jon Kemp,34,M,5LPNZ,229154,370,1,2
Seth Wilcox,23,M,6LPNZ,623192,0,3,0
Michael Smith,28,M,6LPNY,761994,370,1,2
Lindsay Simpson,25,F,3LPNW,830219,555,2,3
Ashley Smith,32,F,8LPNW,666151,925,3,5
Leon Woods,20,M,10LPNY,840454,2590,3,14
Calvin Smith,26,M,1LPNY,602911,1850,2,10
Brenda Pope,20,F,9LPNZ,720461,1295,2,7
Timothy Wells,24,M,4LPNW,794796,740,2,4
Jamie Jones,49,F,9LPNY,578624,0,3,0
Robyn Gray,35,F,5LPNY,901381,0,1,0
Randall Phillips,28,M,6LPNW,914964,555,3,3
Darlene Fernandez,44,F,6LPNZ,809145,1480,3,8
Hayden Cruz,22,M,4LPNY,436442,740,2,4
Brent Lee,40,M,2LPNY,455944,555,3,3
Scott Kim,48,M,4LPNY,332185,740,1,4
Rebecca Ramos,26,F,10LPNW,597458,0,2,0
Leslie Anthony,19,F,6LPNX,593401,2035,3,11
Sheila Gay,26,F,7LPNX,872935,1665,2,9
Alison Warner,46,F,7LPNW,582964,555,3,3
Mrs. Tina Pratt,27,F,5LPNY,368845,2590,3,14
Charles Guerra,46,M,4LPNY,889390,370,2,2
Allison Peck,46,F,10LPNX,381632,555,1,3
Kimberly Butler,31,F,1LPNZ,989754,1665,3,9
Matthew Silva,21,M,1LPNZ,919735,0,2,0
Lauren Cox,25,F,9LPNW,394529,1110,3,6
Martin Patel,18,M,5LPNY,396538,370,3,2
Jessica Williams,45,F,7LPNX,741999,925,1,5
John Brown,37,M,7LPNW,318510,1850,2,10
David Wright,20,M,7LPNW,808670,370,1,2
Joshua Ross,48,M,2LPNW,200957,370,1,2
Andrea Wright,31,F,8LPNZ,672758,925,1,5
Maria Ayers,19,F,5LPNX,143692,2405,3,13
Shannon Proctor,46,F,5LPNX,456995,0,1,0
Elizabeth Sloan,49,F,1LPNX,906318,1295,2,7
Benjamin Obrien,32,M,8LPNZ,770789,1850,3,10
Edward Faulkner,44,M,9LPNX,585247,185,3,1
Steven Long,24,M,6LPNX,969174,0,3,0
Ryan Knight,43,M,2LPNW,622657,2775,3,15
Alexis Fowler,46,F,1LPNY,489681,185,1,1
Lisa Rice,22,F,1LPNZ,282207,740,3,4
Lauren Martinez,34,F,3LPNZ,453662,925,1,5
Robert Durham,22,M,7LPNW,260519,2405,3,13
Shawna Young,48,F,4LPNX,586914,2220,3,12
Denise Glover,47,F,2LPNW,202298,555,2,3
Terri Knight,20,F,7LPNZ,649791,1110,2,6
Brooke Roberson,43,F,5LPNW,858988,0,1,0
Cynthia Davenport,21,F,10LPNY,105586,2220,3,12
Amber Johnson,38,F,10LPNW,861937,2035,3,11
Kathy Hudson,29,F,9LPNY,603560,1295,3,7
Benjamin Mckee,41,M,9LPNZ,589919,370,2,2
Robert Klein,31,M,2LPNX,401170,925,2,5
Natalie Wilson,31,F,9LPNW,511526,370,1,2
Gail Fuentes,23,F,10LPNY,633167,555,2,3
Joshua Morris,48,M,8LPNW,422185,2590,3,14
Carol Wilson,24,F,8LPNW,475170,925,1,5
Sydney Thomas,20,F,7LPNW,337148,1850,2,10
Brenda Chavez,22,F,10LPNY,172663,0,3,0
Jennifer Bush,43,F,6LPNW,895553,185,3,1
Jill Foster,42,F,10LPNY,307987,1665,2,9
Jeffrey Moore,27,M,3LPNX,392086,1850,2,10
John Nichols,44,M,5LPNY,742165,1665,3,9
Edward Berry,39,M,8LPNX,457240,370,1,2
Rachel Douglas,36,F,10LPNZ,270820,185,2,1
Bonnie Ramirez,35,F,5LPNW,786983,1295,3,7
John Jensen,49,M,4LPNZ,305125,925,2,5
Stacey Griffin,41,F,8LPNX,178349,925,3,5
Jessica Krause,29,F,6LPNW,257919,1665,2,9
Shelly Hood,33,F,2LPNY,521584,925,1,5
Christopher Watts,30,M,2LPNX,756102,1480,3,8
Jesus Hernandez,24,M,2LPNZ,569391,2220,3,12
Tina Armstrong,37,F,10LPNY,925075,740,2,4
Kathryn Jarvis,50,F,4LPNZ,326186,925,2,5
Laurie Hoover,35,F,10LPNZ,672839,370,1,2
Vanessa Calderon,44,F,10LPNX,210013,555,3,3
Samantha Franklin,36,F,1LPNX,853191,1665,2,9
Brian Johnson,44,M,9LPNX,218106,1295,3,7
Sean Flores,25,M,2LPNY,936548,555,1,3
Wendy Gonzalez,25,F,6LPNX,259730,925,1,5
Sarah Vazquez,25,F,6LPNW,383864,1480,2,8
Jessica Adams,35,F,8LPNW,498643,1110,3,6
Courtney Hughes,44,F,4LPNW,338204,555,3,3
Alexander Nelson,47,M,10LPNZ,717546,555,2,3
Robert Nguyen,38,M,2LPNX,866114,1480,3,8
Denise Lynch,43,F,8LPNW,808037,1480,2,8
Cody Martin,18,M,5LPNY,328624,740,2,4
Jeffrey Miles,18,M,6LPNY,812703,1850,3,10
Christine Fisher,35,F,5LPNY,978760,740,1,4
Alexis Brown,19,F,3LPNX,528653,1480,3,8
Sarah Rodriguez,21,F,1LPNW,669060,925,1,5
Gabrielle Edwards,26,F,6LPNW,611023,2405,3,13
Patricia Kennedy,40,F,4LPNX,870802,2405,3,13
Craig Jones,31,M,5LPNZ,522285,185,3,1
Heather Lewis,32,F,8LPNZ,697864,740,1,4
Joshua Burnett,40,M,4LPNX,467945,1295,3,7
Dennis Gardner,26,M,3LPNY,431775,0,1,0
Douglas Atkinson,20,M,9LPNZ,376227,740,3,4
Howard Richardson,19,M,9LPNY,954907,1295,3,7
Priscilla Farrell,26,F,4LPNZ,322073,1295,2,7
Dennis Anderson,33,M,10LPNW,417488,1480,2,8
Jordan Wilson,20,F,5LPNW,833021,370,3,2
Lauren Hammond,35,F,4LPNY,915941,185,2,1
David King,20,M,6LPNY,619383,0,1,0
Monica Schroeder,21,F,4LPNX,445645,370,1,2
Connor Keller,27,M,3LPNZ,359830,1480,3,8
Debra Avery,23,F,3LPNZ,584380,370,3,2
Austin Beard,39,M,6LPNZ,160315,185,1,1
Donna Nixon,32,F,8LPNY,487781,370,3,2
Carrie King,29,F,7LPNW,450458,0,1,0
Michael Powers,22,M,1LPNZ,552523,185,1,1
John Martinez,21,M,6LPNY,360922,740,1,4
Patricia Simpson,42,F,2LPNW,555484,925,3,5
Kyle Black,28,M,6LPNY,930614,740,2,4
Jacqueline Petersen,39,F,9LPNZ,973841,0,2,0
Kari Jordan,38,F,1LPNZ,637886,0,3,0
Audrey Montgomery MD,28,F,2LPNW,581508,1850,2,10
Kimberly Norris,50,F,3LPNX,737130,555,1,3
Sandra Freeman,42,F,10LPNZ,804854,1665,2,9
Nicole Alvarez,36,F,8LPNY,155424,370,1,2
Barry Mcfarland,33,M,5LPNY,110289,2035,3,11
Carrie Williams,45,F,8LPNY,373060,2035,3,11
Anthony Lee,46,M,6LPNY,452279,185,2,1
Jody Warner,40,F,7LPNW,218369,555,1,3
Timothy Hart,37,M,8LPNZ,933088,1665,2,9
Elizabeth Weaver,44,F,8LPNX,771807,185,2,1
Johnathan Dunn,44,M,10LPNW,901539,0,1,0
Brandon Mullen,44,M,2LPNX,746419,185,1,1
Jennifer Bullock,30,F,3LPNZ,899338,370,2,2
Kimberly Johnson,29,F,2LPNX,721163,555,1,3
Candace Patel,36,F,2LPNY,484443,740,3,4
Ashley Wheeler,39,F,6LPNW,182169,0,2,0
James Brown,31,M,7LPNW,478821,1850,2,10
Lindsey King,28,F,6LPNY,457992,370,2,2
Samantha Love,19,F,2LPNX,227204,0,1,0
Elizabeth Martin,31,F,5LPNW,597426,2220,3,12
Amanda Hartman,44,F,4LPNX,296014,185,1,1
Amanda Webb DVM,25,F,2LPNW,628428,555,3,3
Robert Wilkerson,46,M,7LPNW,328311,740,1,4
Matthew Henderson,25,M,9LPNY,885917,1480,3,8
Mrs. Emily Robles,21,F,9LPNW,971399,2220,3,12
Megan Moore,43,F,7LPNZ,216973,185,3,1
Diana Rivera,39,F,7LPNY,512544,740,1,4
Stephanie James,18,F,8LPNW,234280,2775,3,15
Joseph Myers,39,M,3LPNX,893414,555,1,3
Laura Brown,20,F,6LPNW,970251,1110,3,6
Jessica Walker,21,F,2LPNX,934377,925,1,5
Ashley Booth,30,F,4LPNW,587849,0,1,0
Sandra Mcbride,39,F,6LPNZ,973327,185,2,1
Melissa Brandt,30,F,6LPNY,687719,2590,3,14
Hannah Anderson,21,F,5LPNZ,169975,370,1,2
Aaron Pierce,18,M,2LPNY,559187,370,1,2
Ronald Krueger,18,M,1LPNW,127612,555,2,3
Kevin Ramsey,36,M,4LPNZ,175881,925,1,5
Joshua Cooper,36,M,6LPNY,672780,2220,3,12
Christopher Johnson,43,M,1LPNZ,541193,185,3,1
Linda Silva,35,F,3LPNX,758910,0,1,0
Ashley Yoder,44,F,3LPNX,841374,1110,2,6
Angela Greene,22,F,7LPNW,980946,2775,3,15
Heather Walsh,35,F,1LPNY,922985,0,2,0
Henry Cruz,25,M,7LPNY,173297,1665,3,9
David Ross,43,M,3LPNY,306056,1480,2,8
Stacy Robinson,50,F,2LPNZ,612064,555,1,3
Eric Harvey,19,M,4LPNW,572857,2220,3,12
Mark Griffin,29,M,1LPNY,788753,1665,3,9
Tracy Harrison,28,F,5LPNW,995974,1665,3,9
Jose Sanders MD,33,M,5LPNZ,624317,1665,3,9
Jean Perry,49,F,1LPNW,386804,1480,2,8
Randy Taylor,25,M,6LPNX,150295,2775,3,15
Trevor Johnson,23,M,2LPNZ,778340,2405,3,13
Ryan Diaz,49,M,8LPNW,574372,0,2,0
William Wang,36,M,7LPNW,932822,2775,3,15
Christy Sherman,41,F,8LPNY,976632,370,3,2
Angela Moody,49,F,6LPNY,139635,925,3,5
Robert Carter,18,M,4LPNZ,942372,1850,2,10
Rachel Hernandez,45,F,1LPNW,864254,2775,3,15
Joseph Bell,29,M,9LPNZ,342151,2035,3,11
Jennifer Jones,23,F,8LPNX,687227,1480,2,8
Kenneth James,48,M,6LPNZ,464068,1850,2,10
Darren Scott,30,M,6LPNY,546780,1295,3,7
Tracy Ryan,25,F,4LPNW,578898,925,1,5
Bobby Powell,34,M,1LPNW,728291,1850,2,10
Elizabeth Snyder,48,F,7LPNX,306094,185,1,1
Scott Drake,22,M,5LPNW,699108,1480,3,8
Jenny Keller,36,F,2LPNZ,862519,555,1,3
Curtis Wallace,34,M,1LPNY,752976,370,1,2
Heather Mccall,46,F,8LPNZ,775014,925,2,5
Miss Paige Peters,34,F,1LPNW,113505,925,2,5
Brandon Kirby,39,M,9LPNZ,581325,370,2,2
Pamela Lewis,28,F,7LPNY,565348,185,1,1
Michelle Hudson,23,F,6LPNW,397354,0,1,0
Brandi Armstrong,41,F,4LPNW,662452,1110,2,6
Donna Paul,20,F,7LPNW,634933,0,3,0
Patricia Pierce,46,F,10LPNX,697637,555,3,3
Justin Nguyen,41,M,8LPNX,169788,740,1,4
Debbie Harvey,36,F,3LPNW,238663,1110,2,6
Keith Cole,38,M,2LPNZ,639047,0,3,0
Angela Smith,34,F,6LPNZ,123964,2590,3,14
Brittany Conley,50,F,2LPNX,625451,1110,2,6
Dakota Tran,40,M,10LPNW,931305,555,1,3
Shannon Sloan II,28,M,8LPNX,841115,0,2,0
Daniel Harris,28,M,4LPNW,598281,925,1,5
Jeffrey Adams,30,M,4LPNW,108752,740,1,4
Jonathan Smith,20,M,7LPNY,877888,555,2,3
Robert Harmon,39,M,7LPNZ,270804,740,1,4
Steven Wilson,35,M,5LPNW,982952,1295,2,7
Regina Giles,31,F,1LPNY,964477,555,1,3
Jacqueline Alexander,31,F,5LPNW,758461,740,1,4
Steven Garcia,19,M,1LPNW,429201,1110,2,6
Jimmy Payne,41,M,1LPNW,299637,2590,3,14
Reginald Moore,42,M,6LPNY,863004,0,1,0
Anna Villarreal,23,F,5LPNW,686650,185,2,1
Paul Graham,22,M,5LPNW,706718,1665,2,9
Michael Miles,19,M,1LPNZ,232585,185,2,1
Amanda Harrison,39,F,4LPNZ,569847,370,1,2
Rose Smith,19,F,9LPNX,901043,370,1,2
Michael Woodard,25,M,9LPNZ,673746,1480,3,8
Nathaniel Pratt,18,M,2LPNY,985553,2775,3,15
David Robles,42,M,2LPNX,180237,1110,3,6
Tyler Clark,35,M,6LPNZ,272477,1110,3,6
Daniel Andrews,49,M,3LPNW,465076,0,3,0
Richard Sims,28,M,5LPNX,209486,740,1,4
Kevin Chavez,22,M,9LPNY,704254,925,3,5
Laura Snow,27,F,9LPNY,598454,185,1,1
Elizabeth Foster,39,F,5LPNY,710444,740,2,4
Michael Kelley,37,M,7LPNY,568717,2775,3,15
Matthew Ho,23,M,6LPNY,459767,1295,2,7
Drew Gomez,46,M,4LPNZ,201992,370,1,2
Keith Hernandez,42,M,3LPNZ,801025,1665,3,9
Stephen Miller,43,M,3LPNY,972147,925,3,5
Monica Miranda,41,F,9LPNZ,504350,0,1,0
Sandra Clark,39,F,9LPNW,538083,0,1,0
Lori Fletcher,32,F,5LPNW,859751,370,2,2
Christina Pittman,24,F,6LPNX,648157,185,1,1
Jason Harrison,19,M,7LPNZ,175490,185,1,1
Zachary Santos,20,M,9LPNW,155598,925,1,5
Ricky Gonzalez,29,M,9LPNX,500230,185,2,1
Drew Thompson,20,M,1LPNY,656209,1110,3,6
Peter Rodriguez,41,M,8LPNX,900291,370,3,2
Alexa Washington,38,F,5LPNY,978407,740,3,4
Michael Scott,36,M,7LPNW,720327,2405,3,13
William Harper,21,M,9LPNW,957529,1295,2,7
Kimberly Jackson,36,F,7LPNW,285837,370,3,2
Brooke Howe,46,F,7LPNX,340042,555,1,3
Regina Zimmerman,42,F,9LPNZ,703596,925,1,5
Amanda Fox,21,F,10LPNX,530922,185,2,1
Matthew West,40,M,8LPNZ,699122,740,1,4
Jordan Martinez,44,M,9LPNW,241076,0,3,0
Raymond Lambert,18,M,4LPNZ,324904,0,3,0
Kristopher Olson,36,M,6LPNY,152990,0,2,0
William Durham,40,M,8LPNZ,451341,925,1,5
Laurie Blake,36,F,3LPNY,279833,1295,3,7
Calvin Burgess,24,M,9LPNX,516974,1110,3,6
Christine Smith,37,F,3LPNZ,114733,185,2,1
Taylor Lee,38,F,5LPNX,369841,925,1,5
Vincent Hammond,43,M,1LPNZ,350814,925,1,5
David Blackwell,35,M,6LPNY,824383,555,2,3
Matthew Alexander,29,M,6LPNX,743228,1480,2,8
Shannon Bryant,24,F,7LPNX,789675,370,2,2
Keith Compton,24,M,10LPNZ,684882,2035,3,11
Jordan Bowers,22,M,5LPNY,546192,370,2,2
Rachel Evans,50,F,3LPNX,362866,2775,3,15
Eric Cuevas,49,M,1LPNX,974913,1480,3,8
Jennifer Gross,46,F,8LPNW,466600,925,3,5
Charles Chambers,19,M,4LPNW,935033,2775,3,15
Christian Cain,29,M,5LPNW,659781,740,1,4
Alison Miller,35,F,5LPNY,135511,185,3,1
Alexis White,25,F,4LPNX,107962,1110,3,6
Jeremy Rivera,20,M,8LPNX,774384,185,2,1
Sandra Romero,33,F,2LPNX,800629,740,3,4
David Hanson,31,M,3LPNX,817235,740,3,4
Denise Flynn,35,F,1LPNW,725742,185,3,1
Richard Flowers,49,M,7LPNX,133132,1480,3,8
Mr. Michael Holmes Jr.,29,M,5LPNZ,262585,555,1,3
Meagan Smith,50,F,4LPNX,761587,2035,3,11
Michael Carter,49,M,1LPNZ,182999,740,2,4
Thomas Reed,42,M,3LPNY,203793,925,1,5
Richard Hendrix,33,M,10LPNZ,826920,1665,3,9
John Spencer,28,M,1LPNW,250336,740,2,4
James Hall,32,M,7LPNX,182739,0,1,0
Francisco Garrison,45,M,6LPNW,338481,555,1,3
Bradley Collins,23,M,8LPNW,466940,925,2,5
Victor Turner,46,M,6LPNZ,106858,1295,2,7
Gina Taylor,41,F,1LPNZ,953551,925,2,5
Michele Booth,38,F,2LPNW,466859,370,2,2
John Dean,31,M,10LPNY,770472,1850,2,10
Teresa Peterson,25,F,7LPNZ,810876,555,3,3
Scott Jones,22,M,4LPNW,825801,0,2,0
Alexis Rivera,45,F,2LPNX,803484,925,3,5
Elizabeth Crane,21,F,8LPNW,304520,0,2,0
Gerald Murphy,32,M,6LPNY,416532,185,3,1
Kevin Nelson,48,M,10LPNZ,137024,185,1,1
Kenneth Arellano,47,M,1LPNX,296781,740,1,4
Gordon Jimenez,38,M,3LPNW,342490,925,1,5
Kiara Harris,18,F,2LPNZ,706780,740,1,4
Tiffany Rogers,21,F,6LPNY,937376,740,3,4
Robert Henderson,49,M,5LPNY,705736,370,1,2
Donald Davis,29,M,3LPNZ,375618,2220,3,12
Sara Christensen,29,F,2LPNX,160717,1295,3,7
Daniel Villarreal,30,M,6LPNX,865983,2035,3,11
Shannon James,23,F,9LPNW,188903,370,1,2
Andrea Long,35,F,1LPNW,512091,185,2,1
Dustin Ferrell,21,M,2LPNW,243652,1480,2,8
Tyrone Fox,37,M,3LPNY,582504,1295,3,7
Crystal Hill,21,F,10LPNY,979825,1110,3,6
Jennifer Newton,31,F,2LPNY,787338,925,3,5
Theresa Hernandez,31,F,4LPNY,341317,1110,2,6
John Robertson,41,M,3LPNY,643569,185,1,1
Kimberly Gutierrez,40,F,7LPNZ,884548,2405,3,13
Brenda Golden,33,F,10LPNZ,942517,740,2,4
Cynthia Jones,31,F,6LPNZ,597401,2220,3,12
Paul Donovan,24,M,3LPNZ,307254,185,1,1
